size,mid_square,lcg,xorshift,mt19937
1000,0.013333,0.008542,0.013834,0.021375
2000,0.026416,0.017166,0.0275,0.03675
3000,0.045333,0.025667,0.04125,0.051959
10000,0.135542,0.085583,0.137083,0.160125
20000,0.264,0.171333,0.274584,0.307333
30000,0.396541,0.257333,0.41275,0.456958
50000,0.66225,0.430875,0.692375,0.788
100000,1.33183,0.869292,1.39088,1.59512
200000,2.65046,1.72521,2.76012,3.12475
300000,3.98004,2.65217,4.15725,4.68687
500000,6.68088,4.31342,6.89854,7.89096
800000,10.6588,6.95746,11.2498,12.7907
1000000,13.5814,8.85042,14.1773,16.0074
